
> temporal-research@0.1.0 phase1 /Users/trh/Desktop/time-experiment
> node --env-file=.env --import tsx src/harness/phase1.ts

phase1 anthropic/mini iso rep3 ambiguous: 0 items, 0 errors
phase1 anthropic/mini iso rep4 specific: 0 items, 0 errors
phase1 anthropic/mini iso rep4 relative: 0 items, 0 errors
phase1 anthropic/mini iso rep4 named: 0 items, 0 errors
phase1 anthropic/mini iso rep4 custom: 10 items, 0 errors
phase1 anthropic/mini iso rep4 ranges: 0 items, 0 errors
phase1 anthropic/mini iso rep4 multipart: 0 items, 0 errors
phase1 anthropic/mini iso rep4 notime: 0 items, 0 errors
phase1 anthropic/mini iso rep4 ambiguous: 0 items, 0 errors
phase1 anthropic/mini iso rep5 specific: 0 items, 0 errors
phase1 anthropic/mini iso rep5 relative: 0 items, 0 errors
phase1 anthropic/mini iso rep5 named: 0 items, 0 errors
phase1 anthropic/mini iso rep5 custom: 10 items, 0 errors
phase1 anthropic/mini iso rep5 ranges: 0 items, 0 errors
phase1 anthropic/mini iso rep5 multipart: 0 items, 0 errors
phase1 anthropic/mini iso rep5 notime: 0 items, 0 errors
phase1 anthropic/mini iso rep5 ambiguous: 0 items, 0 errors
phase1 anthropic/mini ir rep1 specific: 0 items, 0 errors
phase1 anthropic/mini ir rep1 relative: 0 items, 0 errors
phase1 anthropic/mini ir rep1 named: 0 items, 0 errors
phase1 anthropic/mini ir rep1 custom: 10 items, 0 errors
phase1 anthropic/mini ir rep1 ranges: 0 items, 0 errors
phase1 anthropic/mini ir rep1 multipart: 0 items, 0 errors
phase1 anthropic/mini ir rep1 notime: 0 items, 0 errors
phase1 anthropic/mini ir rep1 ambiguous: 0 items, 0 errors
phase1 anthropic/mini ir rep2 specific: 0 items, 0 errors
phase1 anthropic/mini ir rep2 relative: 0 items, 0 errors
phase1 anthropic/mini ir rep2 named: 0 items, 0 errors
phase1 anthropic/mini ir rep2 custom: 10 items, 0 errors
phase1 anthropic/mini ir rep2 ranges: 0 items, 0 errors
phase1 anthropic/mini ir rep2 multipart: 0 items, 0 errors
phase1 anthropic/mini ir rep2 notime: 0 items, 0 errors
phase1 anthropic/mini ir rep2 ambiguous: 0 items, 0 errors
phase1 anthropic/mini ir rep3 specific: 0 items, 0 errors
phase1 anthropic/mini ir rep3 relative: 0 items, 0 errors
phase1 anthropic/mini ir rep3 named: 0 items, 0 errors
phase1 anthropic/mini ir rep3 custom: 10 items, 0 errors
phase1 anthropic/mini ir rep3 ranges: 0 items, 0 errors
phase1 anthropic/mini ir rep3 multipart: 0 items, 0 errors
phase1 anthropic/mini ir rep3 notime: 0 items, 0 errors
phase1 anthropic/mini ir rep3 ambiguous: 0 items, 0 errors
phase1 anthropic/mini ir rep4 specific: 0 items, 0 errors
phase1 anthropic/mini ir rep4 relative: 0 items, 0 errors
phase1 anthropic/mini ir rep4 named: 0 items, 0 errors
phase1 anthropic/mini ir rep4 custom: 10 items, 0 errors
phase1 anthropic/mini ir rep4 ranges: 0 items, 0 errors
phase1 anthropic/mini ir rep4 multipart: 0 items, 0 errors
phase1 anthropic/mini ir rep4 notime: 0 items, 0 errors
phase1 anthropic/mini ir rep4 ambiguous: 0 items, 0 errors
phase1 anthropic/mini ir rep5 specific: 0 items, 0 errors
phase1 anthropic/mini ir rep5 relative: 0 items, 0 errors
phase1 anthropic/mini ir rep5 named: 0 items, 0 errors
phase1 anthropic/mini ir rep5 custom: 10 items, 0 errors
phase1 anthropic/mini ir rep5 ranges: 0 items, 0 errors
phase1 anthropic/mini ir rep5 multipart: 0 items, 0 errors
phase1 anthropic/mini ir rep5 notime: 0 items, 0 errors
phase1 anthropic/mini ir rep5 ambiguous: 0 items, 0 errors

aggregating 2320 rows from results/runs/phase1
wrote results/phase1.json (4 cells)
